sample,count,mean,std,min,25%,50%,75%,max
B73_0dpi_Control,33480.0,2.6284201405962757,2.0203759275102477,0.0,0.6899036236765106,2.6096521420393577,4.081158511944089,13.195768970878653
B73_0dpi_Control.1,33480.0,2.6833228835579237,2.0530876351030174,0.0,0.7398921603401227,2.6639434225812497,4.185805109870522,13.5273181640209
B73_14dpi_Control,33480.0,2.613704671023972,2.1041318141499663,0.0,0.528553816042454,2.5578021733471914,4.207580545933377,13.840315699428139
B73_14dpi_Control.1,33480.0,2.572350950441701,2.0027366479259796,0.0,0.6367055640371297,2.5067440990701924,4.054251569417409,12.273539200899526
B73_14dpi_PH1,33480.0,2.6589109782608022,2.0184590428428515,0.0,0.7627786767977209,2.671952283769363,4.087148805072011,13.703525119085612
B73_14dpi_PH1.1,33480.0,2.496063114009077,2.00498348563277,0.0,0.5464685318824418,2.4155923656170186,3.988689230493196,12.82003731919572
B73_28dpi_Control,33480.0,2.5370208763988478,2.030700449344366,0.0,0.5487448546211289,2.4583229405156874,4.072723230715921,13.645253124064736
B73_28dpi_Control.1,33480.0,2.5790473687097624,2.051447110021701,0.0,0.6150054070610289,2.4744905556695262,4.073648880975471,13.760751129298116
B73_28dpi_PH1,33480.0,2.5446977894443386,2.042056959259863,0.0,0.5597756554081212,2.430981019155272,4.0645961918919795,13.561419223485725
B73_28dpi_PH1.1,33480.0,2.452132649535536,1.9979772876215351,0.0,0.4940279380328884,2.3272116548913235,3.965063909259466,13.47307151430745
B73_2dpi_Control,33480.0,2.5797045772124716,2.039365919193588,0.0,0.586087840864377,2.5109062352340574,4.120501245603331,12.4511492807199
B73_2dpi_Control.1,33480.0,2.660106642502743,2.06670214315983,0.0,0.7287699181312277,2.5955991366699656,4.098979527195824,13.224782520571656
B73_2dpi_PH1,33480.0,2.5745512752525492,2.091322267926724,0.0,0.4491984428062523,2.5246078442492026,4.211541806396683,14.021274973889573
B73_2dpi_PH1.1,33480.0,2.649332840901693,2.004216603680055,0.0,0.7458200980846872,2.627160882820416,4.130004182759182,12.546004555685945
Mp717_0dpi_Control,33480.0,2.5117562810945486,2.049330169750424,0.0,0.48085577675331836,2.4202061520365987,4.057989556966732,13.165941764538966
Mp717_0dpi_Control.1,33480.0,2.659479186085055,2.0592863938206865,0.0,0.6976579558454388,2.634800016147784,4.1143566123088275,13.059493184605897
Mp717_14dpi_Control,33480.0,2.5512685785986227,2.0955606916451655,0.0,0.4817187162237179,2.4081628921653326,4.1445990870104765,12.670996968139859
Mp717_14dpi_Control.1,33480.0,2.5867459287356667,2.0896516362448514,0.0,0.5124989621911451,2.5062287041983775,4.208673316528012,13.587695489424513
Mp717_14dpi_PH1,33480.0,2.5807063121707268,1.997818193437032,0.0,0.6474063871503242,2.5903684767449553,4.0329030970566055,12.446788663127045
Mp717_14dpi_PH1.1,33480.0,2.4724559448084484,2.0407443687909295,0.0,0.46072709968272535,2.3166468119456507,4.0311415131677535,13.538055522677732
Mp717_28dpi_Control,33480.0,2.59313371725795,2.007667590044982,0.0,0.6198986788191156,2.592086199132785,4.090728536042079,12.026993659568037
Mp717_28dpi_Control.1,33480.0,2.526164107818665,2.066786747137607,0.0,0.47923780538946714,2.4192476261745908,4.098674307080274,12.614104760617447
Mp717_28dpi_PH1,33480.0,2.4821275940207443,2.017064584679802,0.0,0.5141566059740935,2.347711005193689,4.001824754718468,12.446917864866025
Mp717_28dpi_PH1.1,33480.0,2.5899395464308057,2.0127183411823943,0.0,0.6632095429151099,2.5436431055601183,4.062760694641831,12.81136465803374
Mp717_2dpi_Control,33480.0,2.6576210084475735,2.049964276202974,0.0,0.6777641717191041,2.626874796442806,4.195723577152554,12.402132713264006
Mp717_2dpi_Control.1,33480.0,2.5544603028252957,1.9975526957842882,0.0,0.6204301584828323,2.502489732276106,4.057426443295454,12.472007910271646
Mp717_2dpi_PH1,33480.0,2.4749321433886093,2.0437952228432694,0.0,0.4842526139327009,2.3045431662406535,4.011913767412123,12.52190464945966
Mp717_2dpi_PH1.1,33480.0,2.6345573259430495,2.0689466639434566,0.0,0.6275848928497347,2.5882025181486057,4.164420249045259,12.487654159327004
